"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkDelete","avgt",1,3,3997.611905,18291.938010,"ns/op",70000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkDelete","avgt",1,3,6043.496795,75836.627215,"ns/op",80000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkDelete","avgt",1,3,6350.954545,30649.191579,"ns/op",90000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkDelete","avgt",1,3,8563.820635,52810.894800,"ns/op",100000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkEquals","avgt",1,3,901243.292580,857714.095324,"ns/op",10000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkEquals","avgt",1,3,1765208.099445,314480.725633,"ns/op",20000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkEquals","avgt",1,3,2722938.180514,1184043.432068,"ns/op",30000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkEquals","avgt",1,3,3745865.066118,2133625.746273,"ns/op",40000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkEquals","avgt",1,3,4868711.116853,914960.791956,"ns/op",50000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkEquals","avgt",1,3,7353307.853339,8196842.241082,"ns/op",70000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkEquals","avgt",1,3,7993555.342014,1750154.477453,"ns/op",80000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkEquals","avgt",1,3,9187426.402778,4521368.792875,"ns/op",90000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkEquals","avgt",1,3,10526837.914604,5792276.901155,"ns/op",100000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkHashCode","avgt",1,3,558405.195536,387310.271305,"ns/op",10000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkHashCode","avgt",1,3,1146031.092854,391638.724825,"ns/op",20000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkHashCode","avgt",1,3,1698507.269921,198763.599262,"ns/op",30000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkHashCode","avgt",1,3,2369042.262698,696677.624522,"ns/op",40000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkHashCode","avgt",1,3,3060121.350907,148029.672151,"ns/op",50000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkHashCode","avgt",1,3,4506700.228134,1839194.422568,"ns/op",70000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkHashCode","avgt",1,3,5042772.910093,3518466.104874,"ns/op",80000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkHashCode","avgt",1,3,5651852.166667,665458.500561,"ns/op",90000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkHashCode","avgt",1,3,6195430.803062,2521662.660693,"ns/op",100000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkInsert","avgt",1,3,1390491.505708,293853.027694,"ns/op",10000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkInsert","avgt",1,3,3181056.752391,693508.955869,"ns/op",20000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkInsert","avgt",1,3,5472339.172040,4953273.419897,"ns/op",30000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkInsert","avgt",1,3,8285506.955873,9756341.311901,"ns/op",40000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkInsert","avgt",1,3,11294805.490779,14081366.698217,"ns/op",50000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkInsert","avgt",1,3,16420529.488889,10632722.363523,"ns/op",70000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkInsert","avgt",1,3,19716083.865755,13464478.543597,"ns/op",80000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkInsert","avgt",1,3,25039996.009524,14875351.259286,"ns/op",90000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkInsert","avgt",1,3,28190139.536057,40307911.656994,"ns/op",100000
"CompressedTrie.CustomCompressedTriePerformanceTest.benchmarkIsEmpty","avgt",1,3,0.531835,0.153245,"ns/op",10000
